,user_embed
28,"-0.39550677,0.37190586,-0.3301908,0.27691606,-0.2262313,0.16497995,0.061532974,0.13453326,-0.26954576,-0.545124,-0.089236446,-0.12068539,-0.2011677,-0.048048586,-0.28850645,-0.36617064,-0.14163819,0.45484227,0.48275146,0.25474596,-0.25985503,0.297189,0.3684864,0.084874265,-0.408963,-0.22174582,-0.27692652,-0.2277027,-0.24533361,-0.25589386"
29,"-0.43307078,0.330812,0.02611031,0.30909193,0.14274688,0.34862366,-0.030463735,0.12809744,-0.14831316,-0.09305485,-0.40289187,-0.43703902,-0.42243955,0.26871377,-0.2142971,-0.33447698,0.021817965,0.42923248,0.026565881,0.23541784,-0.23344192,0.1587957,0.41340616,0.44817576,-0.05607645,0.018330423,0.110841036,0.2952812,-0.046874367,-0.112817116"
30,"-0.069126934,0.10295197,-0.372916,0.313076,-0.357001,0.2371675,0.13119364,-0.2734124,-0.12258423,-0.087176815,-0.26683566,-0.28343326,-0.23640196,0.059500944,-0.066742055,-0.078200065,-0.29330072,0.15964986,0.26431057,0.27856395,-0.22409706,0.32692468,-0.006615262,0.35240132,-0.3681155,-0.19826701,-0.2842937,-0.082120836,-0.39676547,-0.24135533"
31,"-0.3949403,0.37283686,-0.33196637,0.27264926,-0.22061156,0.16562898,0.061243854,0.13517103,-0.27044532,-0.5449893,-0.089454144,-0.1195226,-0.20058465,-0.048065323,-0.2890877,-0.36518562,-0.14434941,0.45530996,0.48608598,0.25936207,-0.2605437,0.29674327,0.3670906,0.08478565,-0.40999994,-0.21936665,-0.27668136,-0.22489522,-0.24403676,-0.25606844"
32,"-0.60888207,0.45168936,-0.09487636,0.35521156,0.123385005,0.4152139,0.046521496,0.34818056,-0.349498,-0.3475459,-0.4215208,-0.3985788,-0.43184957,0.2431022,-0.480505,-0.47940016,0.20116329,0.61759776,0.18785268,0.35803902,-0.40966445,0.27180225,0.6026037,0.33150998,-0.2016583,-0.018262323,0.041723695,0.07587772,-0.08145924,-0.28846374"
33,"-0.23535913,0.30858672,-0.24928206,0.2916376,-0.27102906,0.09646138,-0.055406574,-0.18157914,-0.018357724,-0.32554027,-0.16915648,-0.19197984,-0.25975403,-0.009642686,0.060881235,-0.24247466,-0.5168982,0.3164446,0.39993662,0.14224488,-0.04975249,0.19856468,0.18959835,0.3231525,-0.32793257,-0.22310714,-0.27192134,0.07350984,-0.2532257,-0.05064906"
34,"-0.20564769,0.07945689,0.23230132,0.07971579,0.35138685,0.25382367,-0.016718809,0.21480234,-0.080301024,0.19792698,-0.32357,-0.2786721,-0.22854957,0.28545448,-0.19855842,-0.11551481,0.34401754,0.1574071,-0.2959621,0.102823086,-0.14860061,-0.026032163,0.23062,0.2396252,0.20649976,0.2019644,0.31790477,0.30053943,0.16341066,-0.034189552"
35,"-0.20607111,0.07795113,0.23264565,0.07979256,0.3512606,0.25426352,-0.015862513,0.2140066,-0.0805248,0.19791874,-0.32156652,-0.27858913,-0.22835423,0.28583017,-0.19969611,-0.1155832,0.34229106,0.15766819,-0.29601514,0.09565766,-0.14921807,-0.026777413,0.23054421,0.23970646,0.20507714,0.20207669,0.31792954,0.30285177,0.16307941,-0.034538712"
36,"-0.3795587,0.19556318,0.104740605,0.11932267,0.33059806,0.32732815,0.062447306,0.4335718,-0.28386673,-0.054393902,-0.2961262,-0.25156283,-0.24772435,0.25451303,-0.4668824,-0.26502204,0.5345724,0.34495655,-0.13601823,0.22619517,-0.32344496,0.09046879,0.4247609,0.114140294,0.06150653,0.16479799,0.2471218,0.084487624,0.12707517,-0.20876263"
37,"-0.22247562,0.078454,0.2737243,0.08518138,0.40209323,0.28135398,-0.021773783,0.23487337,-0.08090629,0.2402729,-0.3684178,-0.3155291,-0.25164056,0.3262479,-0.21276407,-0.11707509,0.38728505,0.16465944,-0.35304686,0.096815825,-0.16037072,-0.03899815,0.2482547,0.27286762,0.24288887,0.23120694,0.3678427,0.34958783,0.18740681,-0.026519971"
38,"-0.20581183,0.07769893,0.23259817,0.07938171,0.35185704,0.2541285,-0.015826622,0.21445613,-0.08059464,0.19760062,-0.32373413,-0.27992633,-0.2284063,0.28566378,-0.19921009,-0.115316086,0.34287095,0.15772153,-0.29580182,0.098975286,-0.14910467,-0.026786493,0.23046042,0.23969416,0.20563965,0.20256293,0.31777275,0.30080533,0.16360272,-0.034028288"
39,"-0.20618464,0.07827876,0.23225045,0.07956365,0.35127297,0.25415355,-0.015662622,0.21384838,-0.08065346,0.19742833,-0.31171283,-0.27883247,-0.22834054,0.28562033,-0.19958761,-0.11669597,0.3444133,0.15914246,-0.29661486,0.096962236,-0.14983802,-0.02592603,0.2318244,0.23929995,0.2049868,0.2017865,0.31977308,0.30144304,0.16284549,-0.034505747"
40,"-0.12312846,0.23577017,0.21802275,-0.53142,0.090800844,-0.1129218,-0.08461771,-0.35218838,-0.18555325,0.23924355,0.36254457,-0.5096608,0.11111347,-0.174679,-0.1832787,0.21690275,-0.33649576,-0.12148648,0.09129026,0.42122284,-0.38277823,0.09039626,0.1518959,0.10230994,0.018422509,-0.23371032,0.35547718,-0.17184092,0.017992338,0.3167609"
