,words
78,"-0.7024971842765808,-0.6561423540115356,-0.9097608327865601,-0.019221849739551544,2.296687602996826,0.44850003719329834,0.584478497505188,-0.17752140760421753,0.5739900469779968,-1.4385130405426025"
79,"0.9416280388832092,-0.10151013731956482,-1.1952879428863525,0.41704118251800537,0.5116974711418152,-1.066972255706787,-0.4257490932941437,-0.43390676379203796,2.2281644344329834,-0.8751046657562256"
80,"-1.427782416343689,-0.6091107130050659,-0.2230425775051117,0.5850170850753784,2.1986002922058105,-0.39636579155921936,1.197180151939392,-0.3726596236228943,-0.1740301549434662,-0.7778058648109436"
81,"-0.40149596333503723,0.20917031168937683,-1.500700831413269,-1.0705184936523438,0.821685791015625,0.3216916620731354,1.021708369255066,-0.7931333780288696,1.9158366918563843,-0.5242441892623901"
82,"-0.38384824991226196,0.4396747648715973,-1.4722126722335815,1.3379127979278564,-0.0032338351011276245,-0.12453462183475494,0.41011205315589905,1.2138683795928955,0.5239317417144775,-1.9416706562042236"
83,"-0.2306106984615326,-0.8166495561599731,0.6650699973106384,1.749760627746582,1.2252975702285767,0.28037065267562866,-0.680137038230896,0.004980310797691345,-0.2874201834201813,-1.9106616973876953"
84,"0.9260050058364868,0.2836925983428955,-1.4573014974594116,-0.5109717845916748,1.6167395114898682,0.28357207775115967,-0.3978172540664673,-0.5924878120422363,1.2399859428405762,-1.3914169073104858"
85,"-0.4545913338661194,-0.6361219882965088,-1.3052952289581299,-1.3903648853302002,0.5636705160140991,1.7654838562011719,0.6213201284408569,-0.39893442392349243,1.3278402090072632,-0.09300690144300461"
86,"-0.8617407083511353,-0.2677251100540161,-1.2491637468338013,0.7573197484016418,1.7861884832382202,1.1012821197509766,0.8778777718544006,-1.1419199705123901,-0.3118048906326294,-0.6903142929077148"
87,"0.732281506061554,-0.2524529993534088,-1.5313682556152344,0.4416137933731079,0.6864564418792725,0.9154587388038635,1.3354686498641968,0.26583343744277954,-0.8881164789199829,-1.7051750421524048"
88,"-2.26214599609375,-0.4372519850730896,-0.2877984046936035,0.17858925461769104,1.356673240661621,-0.3922165334224701,1.4075032472610474,0.23915702104568481,0.6108630895614624,-0.4133734703063965"
89,"-0.40890926122665405,-0.6505894064903259,0.4170967936515808,-1.1446008682250977,-1.2628958225250244,0.9730302691459656,0.6770079731941223,-0.6949903964996338,2.1076364517211914,-0.012785345315933228"
90,"-1.0887830257415771,0.5482168793678284,-0.24610170722007751,-1.0254582166671753,2.0931711196899414,0.19699813425540924,0.04040446877479553,-0.1375654935836792,1.0113343000411987,-1.392216682434082"
91,"-0.8491573929786682,-0.43163272738456726,0.30473464727401733,-0.9009341597557068,-0.02796870470046997,1.4504549503326416,0.06289452314376831,-1.297619342803955,2.0629849433898926,-0.3737567067146301"
92,"-1.391432285308838,-0.4135172963142395,-1.1559176445007324,0.0923692137002945,0.7749989032745361,0.06990571320056915,0.6136429905891418,-0.5017026662826538,2.276275157928467,-0.3646221458911896"
93,"-0.18557557463645935,-1.0231037139892578,-1.839544415473938,-0.29260116815567017,1.1961843967437744,-0.08575592935085297,1.6863412857055664,0.1709894984960556,0.9174160361289978,-0.5443503856658936"
94,"0.0508081316947937,-0.38712382316589355,0.13216471672058105,0.12091058492660522,0.333466500043869,0.5986319780349731,-0.25492069125175476,-0.6389585137367249,2.1286416053771973,-2.083620309829712"
95,"0.22605347633361816,-1.2135770320892334,-1.1536352634429932,1.247902274131775,1.385514736175537,0.012620598077774048,-0.3851654529571533,-0.2873605489730835,1.3920931816101074,-1.224446177482605"
96,"0.4034980237483978,0.054092247039079666,0.1198623925447464,-0.9863413572311401,-0.34964248538017273,1.0805732011795044,2.05586838722229,-1.7460952997207642,-0.11344783008098602,-0.5183670520782471"
97,"-0.8947134613990784,-0.9463598132133484,-1.1825580596923828,-1.3066431283950806,0.4000466465950012,1.4720637798309326,1.2660269737243652,0.34450799226760864,1.0524076223373413,-0.204778790473938"
