,words
29,"0.5036056041717529,1.5941016674041748,-0.47282490134239197,0.27899500727653503,0.7046443223953247,-0.6306446194648743,-0.5822181105613708,0.11148805916309357,0.3942910432815552,-0.8624412417411804,0.4274643063545227,-1.9391045570373535,-0.2903686463832855,-0.05833502486348152,0.11564671993255615,-0.3231044411659241,-0.2162637859582901,2.8488874435424805,-0.03989427164196968,-1.563923954963684"
30,"0.4467319846153259,1.8935987949371338,-1.1699343919754028,-1.1790847778320312,-0.5958854556083679,1.105704426765442,-1.4047683477401733,-0.28355371952056885,-0.1618579775094986,-0.2852473855018616,1.259479284286499,0.7077711820602417,-1.6745636463165283,-0.3507406711578369,-0.620345950126648,0.41944199800491333,1.1007394790649414,1.5570509433746338,-0.05585701763629913,-0.7086784839630127"
31,"0.8947250247001648,1.6895616054534912,-2.046300172805786,0.5523433685302734,0.21566075086593628,-0.08805683255195618,-1.021863341331482,0.7878292798995972,0.023752335458993912,-0.6326826810836792,1.1283798217773438,-0.5882142782211304,-1.9877279996871948,-0.32388636469841003,0.20768266916275024,-1.2729482650756836,-0.0035092346370220184,1.0014582872390747,1.131428599357605,0.33236780762672424"
32,"-0.7694764733314514,0.20996466279029846,-1.7605332136154175,-0.9523826837539673,-0.18912732601165771,0.21488891541957855,-0.17518554627895355,-0.8945323824882507,-0.21248523890972137,-0.5621353983879089,2.368636131286621,-0.6595928072929382,-0.9848906993865967,0.9696921706199646,-0.31414374709129333,0.9130081534385681,1.564078688621521,1.4965413808822632,0.3560105264186859,-0.6183350682258606"
33,"0.3496568202972412,-0.027414638549089432,-0.5158661603927612,0.3301103711128235,1.7220404148101807,0.6005542278289795,-2.5390613079071045,-1.2931489944458008,-0.40321505069732666,-1.0515598058700562,-0.30104318261146545,-0.2861880660057068,0.2731119692325592,0.07756426930427551,-1.1924803256988525,1.0005180835723877,0.8620686531066895,1.4584721326828003,1.101881980895996,-0.16600137948989868"
34,"-0.3086852729320526,1.2242066860198975,-1.14506995677948,0.06038472056388855,0.721215009689331,-0.9657822847366333,-0.49013587832450867,-0.8450108766555786,0.17371314764022827,-1.4437830448150635,1.830237627029419,-1.1003258228302002,-1.2789828777313232,0.2868955135345459,0.6390033960342407,0.48474618792533875,1.6600993871688843,1.5241119861602783,-0.3698570132255554,-0.6569807529449463"
35,"0.4861108064651489,0.40372809767723083,-0.23956270515918732,0.7952278852462769,-1.2730246782302856,0.4291853904724121,-1.3815051317214966,-0.17923882603645325,-1.3798823356628418,-1.4845917224884033,1.006159782409668,0.3180199861526489,0.8282908797264099,-0.05467867851257324,-0.9067964553833008,-0.679115891456604,-0.14149612188339233,2.755246162414551,0.590031623840332,0.1078922301530838"
36,"0.29978320002555847,0.6494933366775513,-1.5589439868927002,-1.3930490016937256,0.5848399996757507,0.257863849401474,-0.35040783882141113,-0.5479857921600342,-0.33802855014801025,-0.4768630564212799,0.88899165391922,-0.4528965651988983,-0.3117077052593231,-0.1043628379702568,-0.3378603458404541,3.223336935043335,0.6219025254249573,0.4943910539150238,0.1488332450389862,-1.2973300218582153"
37,"0.2489205151796341,1.4739502668380737,-1.250575065612793,-0.44635653495788574,0.18719951808452606,-1.6628410816192627,0.5828025937080383,0.15935681760311127,0.558307409286499,-1.3874304294586182,1.9460870027542114,0.9622285962104797,-0.9871153831481934,0.35403212904930115,1.2780894041061401,-0.9739915728569031,0.07087989151477814,-0.7573730945587158,0.7060132622718811,-1.0621834993362427"
38,"0.8959373235702515,1.0798717737197876,-1.7925223112106323,0.8529437184333801,-0.3426967263221741,1.00827956199646,-0.28734779357910156,-1.0264906883239746,-0.3807363510131836,-0.9448918104171753,0.8228511810302734,1.440189003944397,-2.038971424102783,0.5008308291435242,0.2659516930580139,-0.12437447905540466,-0.3979182839393616,0.773556113243103,1.0168555974960327,-1.3213163614273071"
39,"0.9502702951431274,1.544472098350525,-1.2910300493240356,1.0323662757873535,-1.5669116973876953,0.601484477519989,0.3826240301132202,1.08851957321167,-0.5595517754554749,-1.890825629234314,0.5356925129890442,-0.06484915316104889,0.10581927001476288,0.9535623788833618,-0.922400712966919,-0.25785261392593384,-0.07178623974323273,1.3477981090545654,-0.6817544102668762,-1.2356469631195068"
40,"0.8044933676719666,1.1146953105926514,-1.7360177040100098,-1.514985203742981,-1.4480112791061401,-0.7176195979118347,0.19310741126537323,0.5007050037384033,0.560754656791687,-0.4818221926689148,2.3446669578552246,0.48826444149017334,-0.8738604187965393,0.36234259605407715,-0.3476392924785614,0.5510547757148743,0.14953792095184326,-0.3192877471446991,1.2111847400665283,-0.8415636420249939"
41,"1.448725700378418,-0.29888203740119934,-0.6855342984199524,-0.9377734661102295,-1.4341977834701538,-0.4995666444301605,-0.33426591753959656,2.069765090942383,-0.7409091591835022,0.5832513570785522,0.7837191820144653,1.196810245513916,-0.9718520641326904,-0.31219229102134705,-1.7157963514328003,0.20307081937789917,0.1910543292760849,0.42265599966049194,1.5283104181289673,-0.496393084526062"
42,"0.9874693751335144,0.5218818783760071,-0.7647171020507812,0.2567088305950165,-0.972142219543457,-1.1886601448059082,1.4615951776504517,0.48662039637565613,0.41533342003822327,0.024121835827827454,0.6178382039070129,-0.8644350171089172,-1.7881338596343994,1.3197709321975708,-1.4722509384155273,-0.5326237082481384,-0.4050794839859009,0.18453598022460938,2.0837323665618896,-0.3715653717517853"
