,item_embed
51,"0.4436879489008507,0.4726026594268333,0.2318427354333238,0.2157645644605927,0.4194799193716639,0.4783961899343409,0.21499036841681382,0.22133156782774405,0.27767582392494894,0.1750235330856438,0.45833096345904106,0.4197719464899999,0.10692897508392399,0.4035085289789288,0.4374094898144306,0.3139512462630806,0.29641556527510166,0.5656507610794859,0.3639192457323374,0.40236111305904426,0.11960304310000328,0.4446634876815569,0.5173777796218023,0.4257988569747598,0.2523609116992227,0.3570137714885045,0.38743986521496465,0.3619046955207837,0.24269164785080877,0.6106274707558529"
52,"0.12424117090744763,0.11416186862670553,0.08184365512285625,0.190495294748092,0.2141263529448186,0.2960288913099725,0.2422219584882862,0.22124855989743863,0.3912253063239695,0.27948332580833873,0.14953808731561744,0.3004473698787931,0.2881900309970383,0.23990287815927105,0.23625664287578263,0.3003989711290741,0.33302107449432633,0.2419626395126578,0.15159957057422868,0.2876553179765044,0.06740313251920445,0.16403139561160082,0.2108699877277084,0.31383412598604965,0.21854883640777117,0.16051953876010522,0.18275460611052116,0.33662572908684457,0.2629953180578571,0.19656578108908448"
53,"0.52794414636356,0.3656910053071087,0.4010343459222072,0.3569945982522162,0.4236431299935494,0.40301246566228904,0.17267021505629443,0.5192383464994633,0.6888814565858914,0.46850614314194367,0.3713908312544633,0.3256173740264263,0.6474558741812955,0.3415179529517594,0.246514615331642,0.44656985474052885,0.27602886047840236,0.3937943406883937,0.32578028610921833,0.27431627432741545,0.7347293956536991,0.2174866146294195,0.26436557535964383,0.1289920460226238,0.19150939984634027,0.4977121738958274,0.40586594523660585,0.42883920432573586,0.39275425744282605,0.4785553153701689"
54,"0.5399320880842848,0.30563906383557493,0.3029073165053022,0.34457193516278284,0.6040898567773384,0.2262316974595928,0.32550486547109636,0.2858792704273225,0.7263871424490176,0.44452488633185294,0.5826209669080723,0.4257505434678262,0.33840308317255763,0.5726575324240941,0.4496591952392476,0.4925697041829822,0.3310719154854549,0.38144473564829845,0.46103867855074593,0.5566726931436046,0.2815275326604848,0.14814191626434536,0.3066125040829579,0.5619245728498793,0.3739942205023144,0.6354325356879643,0.3286099772441918,0.2638850520227255,0.30877464611714106,0.22403172824251738"
55,"0.21990858813787476,0.25351509320700705,0.2861360609681245,0.4622433981738809,0.366103039147959,0.19973659028783122,0.39925029378676696,0.32054764912181066,0.334182634976021,0.26057714054451264,0.32567799548794146,0.38191376591518916,0.35647246329805576,0.3728470120571685,0.5627439499089049,0.4164020213576228,0.33834179190672764,0.1842992212115766,0.41882237989770144,0.6057162873601899,0.24739546025103828,0.2810855112267922,0.39800479491465535,0.30484395790535895,0.29501563714788503,0.3614567951503763,0.3177375604283631,0.3912753605566243,0.38709423352375966,0.1795846659853256"
56,"0.07092036180024547,0.15115710513747593,0.12051742476354199,0.11348371911650722,0.05083236487911637,0.04234156245387195,0.0987675205363654,0.09779398257938966,0.025890456347484117,0.043101074924790615,0.11624771368664992,0.01125540928605226,0.12908340744101277,0.06307254453078313,0.03174584457151089,0.11683808686220641,0.10290552730643512,0.018784010452806744,0.13918705857838817,0.04826831499277734,0.061079945707382254,0.1683297125646026,0.13703663269626376,0.11705477525123652,0.06593162655030636,0.152032110738823,0.021324973743157807,0.029986900770127247,0.10904946175188285,0.14597619839057574"
57,"0.3251027737163994,0.4293094524155219,0.2683493404196605,0.45354312146719106,0.47825290606452875,0.38560552323842895,0.2226907828594102,0.5920801949713845,0.48885316752364216,0.4202343274153439,0.23814433401319787,0.3463869467518263,0.5884462026012833,0.44293025486229465,0.5209622407799436,0.6126320156026782,0.3611444009046627,0.14667627537697533,0.39969822302149494,0.3185372050835598,0.5668024711421348,0.2915152953247054,0.27356277349901725,0.3202015860328068,0.2522643079937301,0.277038041438981,0.3938915397998112,0.2307162242518434,0.40819821131117,0.41847820296717236"
58,"0.33017540848249854,0.36710320478689346,0.5066004323472557,0.6522548197122555,0.30995961582583514,0.43474959250851053,0.5514229591706918,0.6081250227228823,0.574799168312248,0.5206145563326594,0.4842034988871662,0.23725775432932625,0.20321605121361846,0.39735570388324154,0.3000090024984369,0.2974192726124709,0.23997858286441645,0.39692508200728255,0.3546091236502169,0.5093331188525636,0.5724958519808506,0.43939994082120487,0.5807106920166782,0.4038105980183821,0.07853546108767664,0.19817956240496704,0.33554843612516666,0.31332028654381266,0.3464789998560139,0.29288123226397245"
59,"0.35598165804494636,0.19728959227368803,0.2107664231256583,0.14949939568130002,0.3593506704664522,0.210470574658313,0.3284054059648111,0.3579723467923235,0.20964351692655456,0.24925662093652043,0.32881498230839257,0.4231720543888027,0.3140187312228654,0.14940187572964111,0.05472567985766473,0.20411476463845704,0.10427101572365441,0.32390336498057065,0.11431333731554025,0.1230173484303321,0.24504343192282574,0.3164079747864116,0.2076663655018747,0.3086054395437801,0.2309544476207392,0.13980370894805214,0.24049164733982356,0.3334420254220721,0.38137458766056326,0.32885308640163013"
60,"0.07768377240707268,0.14254330265549356,0.1628917300754087,0.09699858901717211,0.14580749412508032,0.1793382312427179,0.032382966539183856,0.1262971497148578,0.0424343790990332,0.14250062168484537,0.14134611204855696,0.15403509049458874,0.008663880201494141,0.18075666778878058,0.13740103570671647,0.16331972025491767,0.15117609729567266,0.09738523865417652,0.1128642227543644,0.11167366815317885,0.14785226536355775,0.011213115657174783,0.017569549093125813,0.06719712373417387,0.10115906588179945,0.1721108057831686,0.08696685405868597,0.04881532655377328,0.17418422212307402,0.12514649691489632"
61,"0.38195048219955247,0.34236526257719285,0.33053942296441585,0.31548071091925056,0.372812926664677,0.39529046487558017,0.3543362294081078,0.1170459435287824,0.5079002340317135,0.31875921514578875,0.4528601369602513,0.45761083217738,0.10324835780520612,0.20819638199346302,0.4722415087336504,0.4285061995206991,0.4761192959440754,0.2895206309620595,0.1799435254587074,0.21272227333233004,0.4945843498514876,0.28716975996992794,0.1481983665340071,0.16508784896966125,0.609559512527698,0.13180339932269627,0.5324176385034841,0.4710908297597529,0.29506854136666827,0.23306417143907562"
62,"0.30301639779784517,0.17969959454595985,0.3782213330668145,0.18829667167462882,0.36501764165177564,0.29739325363991126,0.19836414713715603,0.24403447220591426,0.3726395459227259,0.181036042716986,0.0692113115260328,0.3395895235668797,0.24285184467054133,0.27064896753287626,0.38371427392585766,0.28709488636156216,0.276273920963124,0.33692364862376045,0.15833945335388327,0.2734415448744743,0.19084060666014177,0.17062338192504561,0.42196288591883824,0.2513337061496548,0.31236471775514035,0.21546158712592525,0.3625960446775926,0.35667282654852095,0.3393133075549417,0.2733194798243307"
63,"0.3597462271310647,0.29837331300296166,0.394770320565778,0.47191675853523685,0.42402047193771053,0.3710980023350166,0.26747421479089417,0.3825805768491478,0.19285848249229462,0.4550824759116413,0.4685681569051917,0.41439734441737325,0.6175811273607968,0.40310280059496406,0.18964300049052038,0.34321561177129434,0.460284951872941,0.5121522444208811,0.44633199070539586,0.5054343589794791,0.5448437059930783,0.42553900351260804,0.3530510607750394,0.3833214733832754,0.48546800600369616,0.27176056003976323,0.14191524204278283,0.3261831462682075,0.2000715607295242,0.23670689017986823"
64,"0.11171230125786517,0.004507912674150672,0.1491247754563223,0.1671560746248737,0.03470529419329311,0.09276358600784164,0.010927877626222144,0.033661821283152954,0.07898392030428222,0.06643456449543449,0.05858738283129302,0.010760991667872092,0.1620565429366718,0.14323690995809907,0.0716529022219653,0.12955621427399214,0.027628352642032016,0.09627037063702493,0.16809813543607505,0.11651935851249068,0.03081489552307707,0.17309020950797238,0.00810633527467889,0.09869476328464034,0.07243536471936311,0.012779783671702818,0.1812063345334821,0.018866634434780805,0.1440180859900694,0.08352201770483823"
65,"0.14881652656204547,0.14513903326181957,0.14338008794180188,0.12815062847830366,0.2257695531922524,0.23015883330427256,0.1671264799640422,0.025049353488848423,0.0868690837879853,0.13815293011394456,0.2532471186969318,0.15869998167996163,0.04995360631057817,0.23945066902109366,0.14192765209296074,0.12346572409804972,0.13790040983619326,0.2257511112427507,0.14700683382676394,0.09396946614953929,0.12573167467415494,0.20129763380641016,0.10582174939888885,0.18940976999002898,0.060636238267658474,0.1145015244803019,0.12138884453923811,0.19571416749237708,0.16959268412475967,0.04076761195588289"
66,"0.11356318820284328,0.42035568440348514,0.35608674105824056,0.3128939707275991,0.09494491929293374,0.3872045085214018,0.4109502827509066,0.11249080407376065,0.4883014830653592,0.1364433263620994,0.26896172868905216,0.3097649713559545,0.21374882311236937,0.3881829406772828,0.22447006729859056,0.3791362501235914,0.3472860604560857,0.3952843762117865,0.25394236116830404,0.44102579012326154,0.36813860712927843,0.33129178766094647,0.42495774670702574,0.31248371691552757,0.44274519062861584,0.3149118271470671,0.26228506367035315,0.1159701462958763,0.2332194184740556,0.34681263270913004"
67,"0.43666340806938464,0.3882327928116657,0.18372835760474363,0.16674277242742147,0.29562583399055725,0.4070739508805982,0.21856916613164648,0.13555477897088258,0.18802736045812327,0.10433711167714957,0.3029477737630665,0.3026373064654254,0.2028133394192186,0.24518172361265264,0.33850943207256673,0.3299017072141443,0.1584233164471409,0.3728457047107688,0.38502358654723473,0.3023232308863337,0.09986658308696303,0.2946949313946233,0.42259100970280467,0.4011678444822782,0.24963162932958888,0.3585870839723844,0.26796019459095205,0.30000514767717074,0.2212476733330151,0.47443240212717014"
68,"0.28012197613902284,0.20251885723129803,0.40936595675923726,0.3187663190599053,0.48297024627224355,0.18408668563961214,0.6440637948479534,0.2503618314160692,0.36697103332838954,0.3467214083248087,0.5350950880574982,0.2197165170497506,0.3337193102174272,0.437535481947122,0.5273527766052934,0.46177377619565596,0.31689294278086483,0.46539253709231976,0.34875638326676234,0.28323246276219777,0.18058234742961993,0.4955624376688602,0.3282452684487173,0.4487289226281558,0.2977287227463594,0.3259575794572894,0.2910809929366514,0.14940605905530355,0.28377397732271586,0.3384939385014297"
69,"0.32067032799322714,0.39425921025890037,0.2684862820571216,0.24785841383841747,0.31152520706394415,0.4057755499786366,0.46814199415770386,0.166527063020222,0.5465500221050812,0.41560603340020646,0.37001700630404755,0.3769325190165787,0.34462604053153195,0.3914360384086648,0.29942805289749147,0.3531214630978373,0.19065161680812628,0.26005846272533406,0.48974003807508176,0.10614401056855659,0.37592438653751187,0.29195406952664554,0.4466775680257767,0.4314930352169894,0.3614354999705437,0.26260620002916446,0.2457107587561156,0.4362370003680722,0.4194931437849542,0.3846700798363614"
70,"0.1148702340028979,0.17717393697197895,0.025440531793639812,0.1303803260400122,0.04186264654258739,0.14406342569706412,0.06059283498614973,0.02226834671903233,0.1369128546679709,0.17916881684892325,0.05642902170496253,0.03467523273701653,0.008650087031871229,0.14486389250616835,0.12938040162615244,0.10680861373009044,0.04154519026529045,0.024534510599091258,0.15584958796247828,0.12028984422178339,0.06667494351019815,0.16875046987088538,0.04697564408027028,0.006427221895329963,0.0701282063194673,0.17104803237511687,0.06562891923305977,0.1162366542514063,0.15404177848404563,0.03040492849723453"
71,"0.48815041715707036,0.46488030181693174,0.044891382708726994,0.5711156670750647,0.08747614899732037,0.6437506240253156,0.7167707419685918,0.7087842347721176,0.4558402328645562,0.7451132398263052,0.3660709425543108,0.4895134284306339,0.14521050613690994,0.35228196184443555,0.5521511991582146,0.11925505008101055,0.24721639659292288,0.42741969943657815,0.22865657647963186,0.37397856050406064,0.8194261350339254,0.6838269639828692,0.3036847419742078,0.5851601449196002,0.547102178880751,0.35554262251157137,0.3144348354895612,0.2911209413685138,0.7688540208985991,0.7645899309932365"
72,"0.21534170209741857,0.29099531174022675,0.2816037928000105,0.5720383036868071,0.24125514361992234,0.2631291811881099,0.3093977507851126,0.6205116910827523,0.39223868827742947,0.35346103574838805,0.21516811922148735,0.14327194331304827,0.33065062442624654,0.2874782871643613,0.3821319497119188,0.3869465637750217,0.21748106057156902,0.17495153878204853,0.2863743746667418,0.3987917949853604,0.5848798486182851,0.32477198095583043,0.4243802337094255,0.4130902922271711,-0.11837791674053803,0.07970520013401387,0.14700439476736538,0.13598473759175497,0.28685522411682235,0.23601024482812982"
73,"0.26140698164400344,0.22748818261878043,0.29109622794396,0.2046609552562872,0.28511505322046804,0.3274743373210943,0.23941858765188376,0.2831144419195998,0.3865370597891871,0.1442081246673788,0.06568493475952683,0.30401809083703274,0.2822240231645803,0.3581653113251132,0.3903953476420493,0.22708075028246494,0.3574404398016889,0.4491353803299509,0.20932816599134982,0.1817816083315976,0.18656257551843225,0.09920335898535819,0.41251517206946586,0.22112520414573303,0.2818730846585158,0.20375996799747514,0.3718749631045764,0.36600714614022234,0.2695370881863095,0.20152547575278765"
74,"0.291830566212799,0.3968701549806406,0.44442762123907703,0.24341968288843085,0.42048648857112786,0.5194224313946767,0.4404601589246564,0.4719502513329206,0.4506755698813265,0.46411518456341927,0.5367729922230751,0.36600277432573364,0.21365377557507423,0.3338882532036679,0.2248376721460519,0.3403098862511225,0.23703830494818962,0.21305304433031064,0.3037977990744123,0.3542333794589585,0.22829113211363086,0.5120262570501526,0.4165379020611749,0.40618322132219153,0.37951970908841015,0.3398659467593046,0.3737753732108489,0.37089864354076524,0.44240396480465416,0.4820225404000699"
75,"0.034992250110589006,0.10216515838753579,0.04448613756122294,0.12813129677150545,0.013265723145403564,0.18216579085719814,0.04215183799175847,0.12758069145285822,0.11932049662696036,0.1133312795795915,0.01954688083600639,0.09984634204146013,0.06751307710986328,0.18063303261346952,0.09009338396838863,0.06907252376733275,0.009484879799773483,0.16509830284438295,0.006729162759957991,0.030752746543627453,0.15455734416325553,0.049149045302123974,0.12563808694836576,0.05686750980244877,0.15993127713558292,0.1472709786101652,0.12310545940531602,0.04578329692249972,0.020894208963009784,0.16823882431270631"
76,"0.13781453414611744,0.14033905182075962,0.06375164539177244,0.1169951081735555,0.041985815568340114,0.11983460017885086,0.1723386447169555,0.09380929367827394,0.009671987743381606,0.14832634877382667,0.1469804686563909,0.07256813443787229,0.15979220219535148,0.12573039398809516,0.10782531538803271,0.005786823585759448,0.13943684786585345,0.05545345985732654,0.020862897959960776,0.11034011923516339,0.02306737404955712,0.15395485799376013,0.05232180352433853,0.12090641672437628,0.1815890261001887,0.014501987517990358,0.11154149751772748,0.03787165285907374,0.15750164395654198,0.05883184590707561"
77,"0.2577181600041693,0.17202768448563546,0.3924685167367417,0.2689545996046333,0.4894128423386855,0.23679901126527067,0.615061439397608,0.2961286629289803,0.34503259923996504,0.38985870216947915,0.4701131872310684,0.22546838091905444,0.33167950959296666,0.4538823029701029,0.5351882158364113,0.4954907843731092,0.4442715488529306,0.40563995893803007,0.25473479635356316,0.2007206823635722,0.18441527112956224,0.5513948307820412,0.29925753240659875,0.5238042970672013,0.2740769122198759,0.3285691346190962,0.216801410673477,0.14956125060082498,0.3612128291609981,0.2974923024128019"
78,"0.01635271991235853,0.05625772502456424,0.1285869292081415,0.1397483046413767,0.17313847316876077,0.016624199763449567,0.14935718620632074,0.16354895210749276,0.07426610297798034,0.08157582182772961,0.024857701179275722,0.15338176130715436,0.1271047304509002,0.09702122992188826,0.11506187311347009,0.0884948668526341,0.05406709655915563,0.09679974143161642,0.11327629858797365,0.05109000709167668,0.03502452597192185,0.13060338326423876,0.12259704614562929,0.034588729403977704,0.10041605126664632,0.07957535180243598,0.031140148163460255,0.15284077468236876,0.16609695711538558,0.009362503943972035"
79,"0.2820336468475256,0.3532124804789362,0.17474867053130008,0.3038717479943287,-0.0043929708573627185,0.25723000765851894,0.578591988219232,0.41382314983513563,-0.1279147546092438,0.0892941046492706,0.0936876408129873,0.29843554023663915,0.007063016110172355,0.17154471392401066,0.05981116826719575,0.07569128821033974,0.2618489960364697,0.2097130153578731,-0.06683937125111873,0.013082567904122535,0.06951666582573579,0.4771001974171694,0.14947360731226597,-0.026444959911687937,0.32906280757936784,0.08123316239919412,0.18811631737209064,0.4338829655330413,0.33243130274775273,0.32237956890431846"
80,"0.04863360741919381,0.07756761544493737,0.07901451360218137,0.16171463157703547,0.16483985677375154,0.07226617279328894,0.042074627568221085,0.08390761413501488,0.060885522296364084,0.18159780344694104,0.07622968901332883,0.02551514288093469,0.15487733529368228,0.1624261209584795,0.002017974375675304,0.1044627544540256,0.035574515015012985,0.04716891681067208,0.08359752799237241,0.17504450202964034,0.02368776704289264,0.11244620828670296,0.1151693946317257,0.15122725441343168,0.1109766012451136,0.10313936212100219,0.10018092592436433,0.16310496305674305,0.11260403850004394,0.14601845221533646"
81,"0.39419831680966605,0.1673917456707274,0.26042140468490016,0.3065968319573096,0.276792192609841,0.2858042325789167,0.33247264982549307,0.509362208240913,0.34254677908473813,0.1651480000680704,0.33252894070331235,0.3530640218828697,0.5002689718618306,0.4018292424536417,0.17007993890866718,0.35296767415626296,0.22058348657940324,0.4390440361188161,0.4866557140059811,0.24159887141836456,0.374534532362257,0.2988327260594558,0.11668270937120448,0.49470733422997654,0.23893237815142201,0.28688520172264453,0.4611187777841593,0.09229842536052844,0.38961224643655534,0.15075236727312413"
82,"0.28298875163699666,0.3853115258702229,0.23906060605510027,0.24669536109559037,0.28104563187969916,0.4472470817698697,0.4146360913052458,0.13703523128787032,0.5534795105391876,0.41501106562360346,0.4173822533994111,0.38946083670816145,0.36359104763052214,0.39505003883355494,0.27725415570460143,0.24985710537386943,0.17832769240384055,0.36573759570985687,0.3763520677584558,0.09478346193083932,0.4679961323449522,0.22703802342496116,0.39287267237468954,0.47007430944259476,0.4088192091210559,0.3055512721157301,0.23519797829707464,0.3978164996352556,0.4147929088819128,0.3774824698767108"
83,"0.09916423305781209,0.05763031937680279,0.10721091078824496,0.1525839371225794,0.08444695970336062,0.0385064966862008,0.17312546581807994,0.012166863115888129,0.04300316372633945,0.09656365598361633,0.14109392227609127,0.08403377643254367,0.06148293969903714,0.037486450362683416,0.07217897616898877,0.14319091546171975,0.17894302057501102,0.02995502009418936,0.04172811601373283,0.06531953501100364,0.077855937437514,0.07618659679901964,0.08967326441656286,0.09398270650799165,0.04535550599145738,0.02578151449493868,0.13762483579547596,0.17071648236827144,0.11029124830695965,0.09049455788357737"
84,"0.015355939482211017,0.09620943719899747,0.008122670169190827,0.03860395215056599,0.06312761249456134,0.13134527465491264,0.011782583999262915,0.0796104656815472,0.07093685396950633,0.1361240863042546,0.08249466425732623,0.11339802153954029,0.13494886061258005,0.08950806352383646,0.16088714195522755,0.1626225774098262,0.10444356321823539,0.1386886296716575,0.0003930693597323908,0.1568391130717932,0.1684542727782062,0.17012450018641703,0.11931152879429072,0.06610200735128247,0.09918926267580024,0.10750217503542527,0.14427926940817853,0.17022639124513209,0.0801412367206703,0.10879633656501748"
85,"0.11783376872983352,0.12859284635410415,0.0758054029705522,0.15408540817254018,0.021515872643667923,0.1325498630627842,0.039680037573633024,0.15009335617746658,0.019562480296523337,0.005023166128431567,0.11026964026819226,0.13415365884470412,0.03739946940306994,0.17067995267893393,0.05602801268267061,0.05766438657432095,0.024606777716993537,0.17157218474978608,0.12960351971412476,0.15765516454115366,0.10968669352456628,0.07392709990462935,0.047227795235639275,0.11309514727964698,0.12345414471385932,0.15880614226071008,0.16038852317117816,0.18049902162776654,0.09752231758648587,0.010383138146035264"
86,"0.10821396924947019,0.012123595394897447,0.14736580068958827,0.06443670825184289,0.16612739146017697,0.0417713966015526,0.09841380702665062,0.11617764914921852,0.04328190464302712,0.10824143085508174,0.14750203822091382,0.1157649405147308,0.019165164082119025,0.1317234136538758,0.08267957892303483,0.10903054554788176,0.14625927138600056,0.041700746118961206,0.14200388544750525,0.1724826150741446,0.025697982647085685,0.1156570606108575,0.07487247310891162,0.04609139902716774,0.16739370160054765,0.08866131820804836,0.020417382887380223,0.03876986704811506,0.009293468744472793,0.08751675337531091"
87,"0.03267455684515737,0.021775658156935145,0.14800258601370028,0.13220013589695956,0.15155557189570898,0.16139794859961742,0.0776021453992944,0.0726554956739833,0.022899264638602656,0.05965229545375201,0.009448302153978978,0.04529104138268292,0.048166035891038565,0.0037139862167813254,0.15553388374362387,0.12312750449876057,0.01952214499273161,0.14034680743675432,0.04167758550838538,0.062437308811985184,0.14491985492445378,0.11460764260178663,0.031965496429750474,0.16979998996870738,0.06656327943743587,0.10001822183838321,0.002921793735437317,0.012836033127914908,0.08832007010749149,0.016288363249596177"
88,"0.21787108359295282,0.15982101822465505,0.24559056765487255,0.1718928235297826,0.23219265181979695,0.13440236489062082,0.18944267594318884,0.1888321570543643,0.14510732085402614,0.10663761794790688,0.10078948168748358,0.2178792864338476,0.16317688795746457,0.09508394403656947,0.08049386946548641,0.18274777511961757,0.1323810651929094,0.1257882254144831,0.1914719254587504,0.22988903654573972,0.08527838458649929,0.1387407061735756,0.18496633606742915,0.09171088193271511,0.06030589316855648,0.1604420921714017,0.20783235832090985,0.147898077086395,0.16480445180306794,0.24628003533672344"
89,"0.020879111254948055,0.14892814378379618,0.21206975495402156,0.36571943320525296,0.06321031107351274,0.4414722021160843,0.5001580142525128,0.22862918000019083,0.03213113603463043,0.5833762071418048,0.1628975123322201,0.3001417949731855,0.3537434246566547,0.02840037654602869,0.32957648279039686,0.21598191947139875,-0.03706169678080123,0.4311559864937589,0.018758756261613475,0.34366855085199444,0.3932286004144447,0.40751675518065655,0.5758946533093305,0.38406047927667925,0.40225365323005624,0.5555762935785675,0.4147273602091039,0.790884350181171,0.19953105896948234,0.2727517865710025"
90,"0.529957976850227,0.44236100062809364,0.16533612004232173,0.32744326410889707,0.42823424938303695,0.49018085092720576,0.23409339179303465,0.1946311302000097,0.3155099729934313,0.20739253036318617,0.42161719384717433,0.3989858891712335,0.13087233257529476,0.3810948016955122,0.4550190927377352,0.3983760818652262,0.30295960189918897,0.5346315479618028,0.37773231564346876,0.3608897733871738,0.10304916661745915,0.3941203423282337,0.512809651612058,0.47603400390800915,0.22712323902035006,0.34927328303651334,0.3384644725171289,0.34802378177209825,0.19695618460903072,0.593200685937025"
91,"0.29655612108900237,0.2665099014731742,0.2657034280438556,0.302158701621664,0.277690851417249,0.32829893557426637,0.3098950244548603,0.18345328269809374,0.3002319547559747,0.2707356265380672,0.09524336481508026,0.22659350684563156,0.2869010435312016,0.2960233918829781,0.3288902718766842,0.2840881957595548,0.34423686264546033,0.44005668722482283,0.2603892980369561,0.26357347052316515,0.1848799708340213,0.12200007374931271,0.3316102889472001,0.33619773391137464,0.34863565367084565,0.17287988278625435,0.3552152618222715,0.29107435800014103,0.34335160881344634,0.1765212084946911"
92,"0.1366415787659865,0.2512830898671467,0.07866392587271423,0.2371268700767173,0.09943338242172325,0.24441794800904276,0.19782002432966037,0.2559766096180059,0.2585955022036219,0.33564671057421475,0.1476986933702008,0.2603492272123238,0.05267875299830651,0.11992793999600815,0.15110197719704807,0.14547196709234572,0.18452125737306474,0.19130223858497736,0.1968082229000103,0.1287194941696385,0.32665124953419367,0.2670666450647889,0.13218476762905038,0.22573343686102798,0.2924144877371334,0.1866613530534159,0.16715177925648614,0.2196546168501202,0.22284853725098358,0.34495424322389484"
93,"0.32873147802896474,0.28376712203819265,0.5422797704697659,0.16299550469450313,0.4072982917875831,0.23978216784721246,0.23308723759701294,0.209999606659782,0.18029805181977132,0.2987123200099418,0.4262626445462171,0.45552901183638694,0.2348563558360991,0.31449855212699757,0.1858816279107899,0.19458801767432204,0.11811885758037032,0.2669043716461321,0.5578025737212103,0.33258570813999366,0.20588012798046584,0.3372378747101786,0.13346981954387596,0.21163332549424677,0.2624322085216469,0.3356720218533023,0.6058871031467163,0.40587545995459584,0.3512227705774278,0.564560831936538"
94,"0.1535120985488077,0.007314618187660477,0.1625157569093824,0.005948129595594353,0.12617656474455974,0.05823949423150133,0.12838036540115516,0.11364926343648728,0.011951418164498283,0.05219965433780688,0.17725215610406517,0.07726396112833343,0.0325122140920248,0.1401387279847182,0.1756734327578936,0.13083374692007432,0.016162052517878882,0.005316790998419163,0.03588901387125741,0.1771679332667664,0.10308778009130733,0.15889861954692686,0.08402419108217316,0.11035999299348662,0.03481454312607132,0.09061058688389269,0.13368215698323893,0.06676036957910478,0.050746030664074404,0.02496487690410634"
95,"0.05071370695485897,0.15271981677761348,0.1666604293243281,0.149530341415009,0.111127767184772,0.10451493084824055,0.12618214651264675,0.05037511539874075,0.08733415363508136,0.021609064899947347,0.00030412224213621536,0.03913919390613683,0.07294558993090434,0.004115591065658805,0.10194294699898997,0.15280110813263048,0.1065085863454506,0.07379986760295994,0.023591761558426964,0.12125855555987788,0.09178941331546368,0.06533291291141119,0.0276855094240141,0.17449171891810403,0.16152538425053212,0.13907924908138772,0.11282668920852079,0.14255741823790513,0.038735686129205506,0.008649301635101773"
96,"0.0029824846752598186,0.16286256361393062,0.011147924030128804,0.12623904306119388,0.13122726030336662,0.06027105391010272,0.009805774595878579,0.027122967017241813,0.04450925208395574,0.11758995279155936,0.0879837022471886,0.1547398517599342,0.07809072798898946,0.03770668196264494,0.15575567992214343,0.091718687610364,0.13730712383325078,0.04318687205014049,0.004138216502815432,0.06315716473128674,0.004260881873610334,0.07303908138701767,0.07957536870220895,0.06623328467500167,0.09773497844844246,0.08482352166315803,0.17573925247089803,0.1804058676152015,0.13536114920580544,0.0251158136277967"
97,"0.4533826427025768,0.4170691932822895,0.4212402829555511,0.37499955264417867,0.6193925936583349,0.3815295314367083,0.338396463705838,0.3257449742791957,0.6586510461543689,0.3932040952219081,0.5565137429500728,0.37600887038341874,0.314636594841275,0.5228532497054434,0.342039396917942,0.46466761175015,0.33610457110656894,0.42426554585430903,0.5131977291225019,0.5081744425802489,0.39276101307894573,0.27879978956208623,0.37672026681692367,0.5159674730676834,0.4138037865807771,0.5692136547875017,0.48210395352322566,0.3288230195190821,0.3480744348030352,0.39394575472417015"
98,"0.5047293282656528,0.36302043033116504,0.29367490616392844,0.4474559686297894,0.474101530797739,0.23802534153959973,0.5354002495187723,0.3334974934433359,0.25470619861504346,0.1768087228927179,0.2617444947208741,0.18693921079556658,0.35993562852139666,0.27659721586103997,0.22801431882272866,0.3850256787459836,0.392662357484103,0.39050839367836154,0.3088367309783116,0.47225758936177314,0.3993272025344655,0.12647532714669912,0.40155432980192285,0.45206457693264673,0.43982159788360015,0.4919325976627047,0.18083799054005736,0.5054587887827536,0.275998570636119,0.4602329443642466"
99,"0.2996069302315111,0.21854584509762134,0.33230933884712377,0.2952577409627081,0.26172863065164,0.30810905038994135,0.31086406709071956,0.2838172019731355,0.17119391349015875,0.16434164524056805,0.33217787032023627,0.3400881455857093,0.11693538522222852,0.20001797904157845,0.15206041113449914,0.2378541163762153,0.2723668068532454,0.11528127708631004,0.34873086559152805,0.25617476703256636,0.28151332867589945,0.48335560062143135,0.23124943087055283,0.11583212411631974,0.24725924956272305,0.39045330584853344,0.24772567734035136,0.2752651158813934,0.2070337647486258,0.10855796173231817"
100,"0.1472388793759334,0.06641215083485787,0.09046061012102347,0.13331633818713318,0.07670435014359117,0.09486299654679525,0.1270238674611948,0.037722014248867924,0.09693207071291278,0.1200774629812845,0.12661207102786126,0.16339473064203736,0.022382394800970873,0.12881190963757044,0.05860900952891917,0.17077745626448665,0.02674214832407272,0.04349887019007985,0.17720658821481994,0.027414989575782648,0.11164145263401655,0.0530346450602241,0.11254263490956677,0.12558627337501774,0.1308096849331753,0.17127850519324647,0.1315940020218761,0.05930505558819659,0.11072454229146596,0.09318209380412994"
101,"0.19363454906190103,0.19106636850244899,0.2809706595418259,0.23838137368115828,0.29077673161718365,0.3898638208725291,0.191090970369388,0.20821829850106324,0.37650934897202837,0.15970077257574786,0.0969168749081252,0.24028814447511362,0.3569952404403498,0.2885356717791208,0.3731994768765758,0.2556133391037995,0.3424325361311363,0.43429644057860073,0.1880559330938036,0.27304501212344273,0.22121183112990583,0.17597319020512023,0.3858980138381098,0.3249511533853898,0.29941519211845075,0.17039358782904393,0.34005165334551,0.3181787016174164,0.3523677219813785,0.19162046187719786"
