,words
23,"3380,6761,4566,6651,3,1127,0,7455,7547,6184,1916,7547,911,505,2088,4157,0,6544,9091,3311,6639,4976,7547,1409,11813,6405,5552,2719,7966,821,11915,2996,8998,2719,5849,5469,2996,11980,2719,9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,"1776,0,2198,9081,6405,2484,5345,10424,3930,7962,3074,6491,5897,9370,5504,5893,4566,6405,10513,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,"10677,3311,5897,3496,5754,8440,6521,1200,11873,7270,2375,0,2719,10794,1916,10860,1710,505,11287,514,10485,2484,2088,11078,6891,6917,9597,1536,3293,4976,11435,6807,6612,3742,9382,6651,6468,10369,10351,12339,3719,9197,2582,6256,6468,9382,7771,5754,3899,1916,1298,3873,6040,2582,9061,7866,6910,6651,3659,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,"7962,9755,591,9287,10886,6374,2868,8637,505,1147,1154,4157,0,6374,8116,4157,0,1123,8100,8186,7962,10021,5893,4566,5897,4547,2484,11580,983,1916,11608,9102,3874,0,3157,566,505,719,5897,9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
27,"11608,7193,10716,12065,5094,11163,11497,5897,5893,8117,6521,4009,7804,8524,9081,5486,5893,10369,1703,8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,"7962,3311,6256,7078,9382,11608,7193,11701,6705,10863,9269,448,1916,7962,3311,3108,6551,8786,4796,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
29,"3157,10533,6405,5937,1637,10965,12046,11531,841,8055,0,5423,10498,10478,5802,7866,11608,11747,4914,7547,6559,10369,7547,5218,260,3950,4976,10666,9296,3000,7547,10967,1916,6822,9852,11369,1916,6478,9143,8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30,"3719,5701,10860,7609,7998,7547,10235,7390,3920,5185,7956,2453,1916,5505,7547,5280,6917,8786,6917,5937,8132,2484,7547,12093,7966,505,2088,10505,0,6166,1394,4850,3890,6478,911,505,8721,1916,9597,7962,3472,4547,4329,4914,7547,6100,3000,12093,7966,1916,11023,8687,5893,4566,6888,514,6521,6730,391,6551,4278,4566,5897,10008,1916,8417,7547,4499,8533,10454,1783,8439,10615,640,1298,1686,0,9725,4547,5106,7962,4627,12293,5897,4547,4067,0,10519,10008,9081,9597,566,12158,7547,11099,3000,7547,9241,5176,11857"
31,"7962,4850,441,10886,7547,9506,9287,10886,12012,5897,11915,11608,3179,7168,5754,3820,3985,8836,3179,3398,6544,9276,1805,7547,4788,1319,1916,7962,10886,6551,5345,5549,6544,7794,3311,11608,7252,6538,9117,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
32,"5335,4041,431,3293,4347,658,5665,5897,9044,5754,5893,6437,1959,3365,3354,3930,8155,984,5486,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
33,"5261,3703,11895,0,11341,11687,0,3422,0,5476,0,5857,0,0,7962,1432,7547,7669,11786,3764,4281,3293,658,5665,2877,1298,10524,7592,7390,7547,1959,4901,12093,9607,4976,11435,0,2723,3842,9650,3719,12093,7136,9645,1593,6708,1916,11608,6745,11915,3000,7547,630,2153,8068,4921,3311,6384,154,9949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
34,"8254,11608,11661,3000,10064,1916,11210,2719,10533,5486,10275,514,3930,5486,7270,1364,6418,5371,3954,10886,3380,4319,9480,0,8607,0,10431,7962,3311,2996,4,5754,8155,1064,1203,1567,8903,11531,10487,7547,4517,4921,12215,7962,9287,5821,7547,4768,7270,5893,1688,6544,5074,9091,3311,4009,2661,9878,9673,514,2719,6184,5486,10554,8411,1916,7547,5371,9938,9228,10425,10267,2719,10860,7056,3906,1298,3932,1916,10474,9209,9209,9209,0,921,7547,7601,3000,5468,2585,10454,5468,6056,5754,10945,1916,9088,0,2547,4566"
35,"2719,7552,505,1054,11238,1916,6118,9731,8036,6405,2828,4796,5897,3798,11416,5687,4606,6651,9545,3884,8035,623,257,11608,6469,4976,5893,8741,3000,12119,11802,6651,4062,1916,8903,10171,10836,514,6435,6651,12046,1665,5893,6917,11608,1544,1916,3293,1879,5897,9852,2593,6917,12257,10454,9228,4095,2719,12265,10498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
