,words
21,"3414,8710,3539,15347,13330,3939,4739,5747,17744,9546,7352,14522,6811,3067,15657,11122,18859,18857,6594,11122,8904,1649,9314,12335,18857,6122,7199,8442,2960,6122,5834,2960,11742,14627,8797,15647,2960,5182,1649,8986,15862,14417,6017,3594,15453,11122,965,18202,5013,15347,15657,5124,14395,15520,10326,4267,2533,6122,18240,15813,8618,1649,19550,15347,13283,15813,4226,14101,18097,18857,7722,17468,1631,1325,11122,3148,298,15657,18031,16436,8618,1649,19550,15347,13330,6949,9757,10265,4411,15657,7313,18161,14716,16611,6414,2705,15819,18857,6122,4739"
22,"14313,14627,19768,1649,3539,7719,3900,9757,10265,10622,12416,15836,13005,10622,14758,18650,14711,18951,4772,6507,4919,14627,10287,17759,9757,5685,15657,15368,7719,6414,11122,5647,5437,8929,11122,1079,9182,1802,13958,7719,18857,6507,6824,4095,14627,15905,8213,17197,12826,17002,7352,8993,4739,7412,4694,10882,16185,9859,7719,19128,18857,15228,6507,6824,4095,15936,5809,12751,8874,7199,1325,3539,12826,17341,7719,14716,13896,9205,12826,17609,18857,8540,6824,4609,4937,19472,1029,19290,7719,6745,8163,14627,13764,18670,7719,13317,11875,12300,14839,15228"
23,"19665,8163,14627,10880,12826,19227,5124,12407,4482,19546,0,19580,11905,10383,3202,8180,15657,15228,8302,13527,19872,7185,7516,11735,1662,9104,16958,6824,15657,1931,430,5529,1549,5323,15813,14627,6736,19549,5057,7719,17035,2806,15813,4112,15653,9746,5685,4739,14627,14332,15657,10253,6414,11122,1593,12978,11735,19688,15657,12801,7039,13200,5529,17468,3060,86,6736,6824,4095,7878,0,3975,15657,2431,6012,12827,15734,6074,2183,15736,8213,1101,8331,14627,15483,12223,1325,11122,10356,13445,0,7040,15657,11122,2018,7719,12037,11984,1649,7313"
24,"9376,2123,10204,5685,6414,14627,7737,16964,9757,13045,10622,15228,11865,15836,11122,5685,19314,10622,8302,10440,3867,6824,4095,10622,12375,19472,7199,4739,14627,5748,1649,3485,4739,6071,11864,1549,6268,14441,6975,8710,18857,8915,8993,6414,4474,7719,4727,14495,4727,3880,6507,12826,5267,6507,5437,8929,11122,12789,3194,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,"18857,10550,6832,18857,8929,4879,3922,14089,7199,13005,18857,4348,12826,17169,0,16689,10249,16845,10602,1325,6887,2332,14637,7352,15657,14627,108,7424,1593,11632,15919,15657,17315,14627,4472,11761,3509,0,5505,7412,7040,15657,2481,6414,11122,2207,12955,2183,16958,18161,1705,12826,1877,15813,1776,12677,9832,7412,16972,6824,13241,11122,3154,15657,10031,2481,4516,13739,11122,675,9256,12021,7719,11122,3154,4084,5529,14627,13439,10317,9757,4220,19876,7719,15136,1346,11122,1956,19876,12827,13498,14319,7412,13222,19663,2317,17480,7719,7412,18178"
26,"4937,19472,7199,15813,14627,2233,11893,5437,13920,14627,9661,6046,2496,10882,10622,15228,14582,2183,15736,3345,18335,6736,4095,12826,10422,1904,14910,8290,16958,18161,2073,7313,15220,11184,5408,12335,18161,3974,2073,7313,6867,8993,7199,9191,3005,4739,14627,19326,1649,3485,9832,15896,16626,2317,1693,7719,3345,10515,13327,11122,8618,1649,11122,15170,16256,8736,6414,5755,18857,15453,11122,5498,14413,11122,11904,4340,7719,11122,11697,13005,8618,1649,19550,15347,6975,5605,5142,18763,18377,2501,8404,7719,15315,16910,15136,9164,13064,15533,16045,5613"
27,"18857,12463,12826,6122,12826,6824,4095,8710,11122,9342,18857,16107,15228,1549,6414,14627,14522,7807,18857,15917,7040,4095,16583,2183,7741,19858,15228,7017,15836,18857,15917,4112,14716,15976,7352,3859,12300,8929,13764,6736,18857,16116,2431,3462,4739,11122,230,12805,11557,5605,6824,4609,19858,2183,17978,11632,3974,19227,11122,18670,19278,14210,5529,1115,6736,5506,10283,15855,15657,15874,18974,9938,12826,11557,7807,12300,8929,14627,19713,6064,18857,15453,11122,7866,2453,3261,10882,15657,14627,15228,12293,2705,12554,10882,15657,6507,7137,18161,14716,10422"
28,"4937,19472,15919,2317,14627,2485,3065,7719,7352,10622,281,15534,765,6672,13074,5161,3297,16307,15150,7719,18857,11046,5240,17236,10587,7719,8675,2918,10882,10622,17153,797,12300,17315,8929,6736,11184,18552,16958,18161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
29,"19858,2183,13764,11696,7722,4727,16958,15220,15874,6414,11707,2508,10040,7779,7199,15813,5783,9191,6464,8890,18857,12596,12826,16845,2806,6414,11122,7573,15813,19550,17391,19858,1694,17827,15996,6811,12180,17887,17200,15107,2268,8018,7199,14767,6736,6074,13341,3297,4803,19858,11905,5322,9757,19240,12325,11735,4739,14627,10915,7719,6858,9838,18161,5454,251,15605,1649,3067,13858,2317,14627,19832,4739,17103,10792,19123,11704,4195,12353,3248,9757,12930,4095,12826,251,14627,19486,1649,5506,7903,2508,12581,4411,10428,15813,3832,18334,2051,19714,11905"
30,"18448,10427,11735,2501,3756,15813,4112,6736,91,6414,11122,1035,8642,0,8213,10265,4739,15228,11957,12909,13615,1691,10602,6824,11122,12930,15073,15836,18857,16116,8302,15874,3025,0,19910,15136,19608,0,7645,18334,7988,7062,0,0,13867,12826,14627,12693,1649,7516,7719,3987,0,0,18857,6507,11122,9090,7719,15395,1552,6736,16958,18161,12827,15896,3941,13056,14717,0,15408,2764,13781,10915,4739,3297,14570,0,0,3200,8213,101,7516,19779,18850,3772,12826,6122,12826,7480,0,3439,10287,5319,6288,7719,5352,3474,3621,10553"
31,"9757,19271,3190,15657,17359,13101,5436,37,2806,14627,13179,15991,7955,1593,7719,11122,328,13704,9757,5436,15982,6511,18303,18206,18857,6122,17209,18857,15917,18857,2629,13005,11122,13589,7231,16248,7719,12835,1663,10550,894,14627,9554,10882,5529,11777,10882,5529,13423,10882,6883,7262,14403,9859,6510,12826,9835,12223,19925,529,9757,324,6414,11122,5857,15657,18789,7719,8527,926,18161,5454,15874,19574,11501,17894,9757,14497,17636,7145,18857,1694,2103,12091,6824,11850,3718,14892,4609,9757,18134,3536,18956,15836,15874,6414,13005,150,3484,13005"
32,"9757,1947,12827,2431,12931,7719,12801,64,8618,15657,18670,6510,12826,11846,13101,5846,1173,15813,2361,7040,14628,2561,6824,4095,15657,1504,7719,15874,6414,14627,6736,1124,8143,9757,273,12827,17009,7719,11122,6435,8771,4255,2442,18563,18283,4255,2442,18976,7340,7807,8618,4255,2442,5565,9184,8993,4739,13466,15408,13287,9226,14627,10287,4095,12826,10365,14667,7719,5529,15606,14627,11862,15170,11893,11122,14366,8884,5685,7340,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
33,"8213,1776,10915,18226,9684,11122,2263,1325,7985,9203,12381,1029,7719,9832,11122,8169,4727,18558,4727,2449,3197,6811,15106,16532,6769,14627,11153,296,7719,19714,12801,14627,11862,1649,11725,5323,2317,9904,5116,6958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
34,"9757,4095,12826,6122,15813,11122,1658,17491,12826,11742,7896,12922,0,18857,16023,11864,1549,7199,2183,5835,3332,1649,11122,7759,5116,7352,13257,12826,14910,7516,18563,0,1706,7719,3192,9301,0,11092,591,18370,9757,7844,6975,6414,6824,17197,16107,15260,9469,11679,7719,18857,23,6824,4095,15580,16872,0,3606,16778,7416,14978,4739,5354,12231,6414,13005,6824,15657,8302,15896,3224,15494,1293,6736,15813,14627,19713,18951,2317,9706,10915,6414,5514,19469,14313,11122,5354,15806,4095,2317,11122,476,15813,11122,13282,5635,0,18995,15855"
35,"16975,13074,7719,14627,6736,3300,3182,6122,14627,4387,3484,15813,6824,4609,15536,15813,11122,195,17491,5613,15950,1873,11742,14627,1753,14627,14450,1161,1649,16548,7719,6414,6824,3484,15653,134,14745,15836,7352,8333,19858,13764,6736,18908,2313,18555,18335,14892,10515,14507,15813,6811,216,6736,4727,18161,5454,17200,251,11122,7040,4095,16185,14116,1949,7719,3348,12223,2317,6299,15836,16958,18161,5454,7127,11122,13282,12277,6811,31,8771,7856,6736,11777,9757,11905,19358,15657,1176,7352,2317,14627,3599,19462,12335,18161,6122,2317,14627,4849"
36,"6668,15242,0,15836,15874,12801,8957,6003,15874,9104,14758,6824,4609,10882,2959,13005,5437,3974,2073,7313,6170,8667,9191,1649,1228,13589,16280,9425,18981,6414,19550,1043,7719,13005,7313,11122,5722,9389,14303,19467,406,12826,16491,2094,7719,16491,13332,19287,18857,8929,12826,6832,13005,19550,18363,7199,15657,2806,18671,11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,"18857,8163,15228,15104,8913,15813,6824,4609,0,10882,15657,11122,3423,1812,1325,11122,16923,6414,17268,7719,19858,11122,4827,1649,14627,10915,6414,19978,0,15888,3075,5685,7719,7744,16155,0,8884,6414,11122,7808,17117,14627,15855,11190,9832,11122,17145,6414,11122,14145,16256,7719,13834,1433,2317,11122,5450,0,19287,86,5013,10287,9002,15494,9554,0,19858,2501,18996,16910,13282,19442,0,12300,8929,8476,1433,2317,11122,476,18523,12864,18134,3204,2806,8909,4330,3148,0,9757,7822,12827,7265,15836,18161,12827,3319,15813,11122,10406"
38,"15243,7588,7719,541,7313,2501,5454,18857,1677,0,16656,19865,19541,509,6414,14627,5002,12668,12827,13764,19292,18857,2073,13005,13589,3974,6122,7199,15813,11122,7856,15836,18857,8929,12826,6832,13005,11122,3475,18370,18857,3812,6250,6414,10929,2806,16391,4727,18857,10622,6414,11122,15494,2317,14627,14779,16565,7151,11122,19366,8213,15813,8277,4482,6074,9182,1018,7855,3539,622,15657,1047,13343,7719,15086,12826,11122,14811,0,18857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,"7566,6745,17277,5605,6824,17197,12826,19623,2176,628,14627,9150,6285,4727,5437,9043,3746,12091,5124,10800,11864,1549,3319,12826,1867,12039,15813,19971,10686,2167,12576,8085,7719,16371,18857,8929,1694,8163,14627,18645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,"13407,17973,12826,4875,11122,12590,2093,1649,86,5509,1649,17073,19472,11696,11655,14758,19549,7180,7719,4964,4937,6122,7199,13764,4647,4739,14627,19326,1649,3485,9832,3958,8993,15813,13025,17055,2317,9448,12494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,"8213,4095,12826,8018,4739,14627,5498,7857,6074,14627,18670,11875,9757,5685,15657,13764,4629,15836,18857,14716,17334,14627,6891,1649,11122,12544,14577,15657,8302,13498,14093,14627,3321,14892,15620,5437,8929,6824,17660,14497,7040,15657,14627,6736,4095,12826,8018,16958,15220,2317,15384,4931,7719,11184,15813,14627,5331,1173,15874,10515,4163,5830,12826,3319,12826,14627,2501,13282,6735,16749,18857,13906,11122,12693,1649,13589,7199,4727,7793,10283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,"18857,10422,4448,12826,11742,17402,0,1552,6122,15919,16958,18161,14616,11122,646,1649,11122,2913,17261,12733,6988,4999,19521,19128,12170,9859,9753,9706,2106,4609,0,8755,0,12782,2929,11742,581,14893,12826,10879,7040,15657,19550,15347,11735,6414,4680,0,19858,7017,15836,19714,17468,14627,4095,12826,2493,0,12300,6236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,"18857,15228,4348,12826,15453,6824,4609,8667,1969,7719,1694,19472,12826,11122,9191,17495,18857,2103,11122,10577,298,14758,6824,11735,15657,12695,13391,7799,5116,18161,2807,8993,11122,8428,7997,6507,7137,18161,14716,10422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,"7645,4482,5605,14627,15818,3539,6082,1029,12274,9248,1529,15657,11609,15874,11122,18859,8213,9860,5685,15657,9757,4220,19876,15657,7412,7640,12511,2362,2051,13005,6811,14274,2806,4804,7719,13800,8213,7340,1649,7724,8771,4095,12826,6122,7719,15018,11122,14439,2485,6074,11473,13454,15996,6811,15228,4263,0,15950,11742,1672,18518,12486,15657,14627,16758,4095,12826,6122,15813,1188,15043,4207,13662,11940,6512,19362,13001,7980,10663,8710,18857,8163,14627,10287,18363,5605,6824,10915,5116,18857,8984,6736,19953,18404,1649,11886,15836,15874,10515,4263"
45,"7040,15657,19550,6897,18363,4739,11122,7612,18841,15836,15874,19550,6897,10736,11791,8993,6414,16663,9948,2951,2795,18558,4620,15874,5835,10893,18161,5454,3866,6507,12826,1131,2317,7137,15363,16910,8630,2501,3272,9118,11864,1549,7761,12826,13441,6824,18748,15813,14627,14522,15936,11893,11122,9191,3539,18857,8163,12826,15803,15968,18452,5529,11122,12930,7672,17969,9038,7719,9769,7005,19831,11122,15038,1649,19550,18452,18363,2183,18857,5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
46,"14545,2176,12344,5605,16274,5437,3536,8302,9269,14717,18857,17613,11141,7313,10622,11122,11014,14758,1635,18857,4937,19472,15919,2317,8890,5605,606,11122,4095,10622,1931,18711,18857,12264,11122,7672,7719,2827,5613,3536,2158,18857,14978,4739,11122,15363,9768,4095,15657,19971,11037,18857,8163,11122,5515,11628,4739,14077,17818,7719,1741,15919,5605,606,2317,14627,15306,7352,10622,12381,14717,7611,12826,15803,2317,14627,10308,0,15187,6745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47,"3414,6897,3539,5605,4581,10622,14627,6891,1649,7476,0,7040,4095,15657,2431,12968,7719,4738,465,7719,19436,14222,12826,11122,11869,0,1371,14627,13282,5699,16280,7477,11122,1877,4739,16787,3081,16280,8163,11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
48,"8771,15836,15874,7742,2272,7199,9987,9191,3005,4739,14627,6736,4067,7719,18850,14627,2722,6745,3659,18226,18857,8163,15896,14144,18363,13501,15835,15377,15813,19550,6897,18826,13706,7303,6591,10602,8993,4739,14627,11176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
49,"19858,15896,18783,20010,9554,10882,15657,7313,7352,15657,7719,5124,19734,1649,17894,11864,11905,1549,7199,15813,11788,13858,4739,11662,8990,6237,18019,14637,9297,18857,16116,6927,5686,12826,6768,15622,2317,19550,3067,19938,2387,10800,3548,15862,230,4739,9938,15952,18857,10622,18512,12826,10041,13443,8302,8163,11122,2764,3260,10622,18857,10622,6559,18240,12826,11122,7692,12021,5116,18857,2629,12826,1682,6669,1705,2041,15077,18857,10825,13005,3658,15487,13341,16291,7352,15657,12705,6414,11122,3423,3154,4727,11122,18494,17640,7352,15657,14627,15165,18717"
