,user_embed
21,"0.20249216734957087,0.42320468948187834,0.43242658912619303,0.44568062612810605,0.3589492258385205,0.42764892031497154,0.219488162165039,0.2592488029081016,0.3402679476050181,0.34406051078718397,0.5829772654787326,0.4274478529793618,0.38073456599964606,0.47255358319633145,0.5045927536935081,0.24865253307475432,0.26196779690249705,0.256454889900137,0.4627558165731869,0.1503868677257128,0.34794761984332173,0.18665405384461525,0.4051821573775341,0.4919725217014316,0.27006100694590673,0.43350516169115355,0.3829090629034301,0.33381768431801256,0.3865305984335413,0.23459968527208153"
22,"0.29982136407341464,0.4444197671576339,0.4199690499205645,0.16954950973727784,0.06297219836062835,0.4240968693229374,-0.0978710107278908,0.46790425906695143,0.31307344513234886,0.43398584876593277,0.19270001228919936,0.37005873228820996,0.286308733032402,0.42245803482448674,0.2920771902351325,0.2112988730820449,0.4080135381714577,0.15415628079141158,0.20470195663985424,0.3539625835773839,0.17750739702035817,0.09565278484678895,-0.06184655466965867,0.11314491765171139,0.5617878163595789,0.3686794839939125,0.5107718654556298,0.1150054709529602,0.3028130230052326,0.14469016267356766"
23,"0.3078142415902765,0.30712217883808485,0.16514774688904227,0.31973147178322603,0.3860483009630793,0.482458839844066,0.3296432190414789,0.4254220635742097,0.4641167857098937,0.4893389341359499,0.6830013052749788,0.80253826181163,0.5064944088266325,0.23143227396814806,0.5141415416092766,0.4647598008433499,0.40114955124531954,0.4896658459874296,0.5988882823306553,0.3908337833411506,0.4672446665029625,0.29991574701796386,0.7215569956631102,0.39054390597591265,0.10446069440633472,0.4507204598577249,0.3808999359085041,0.24902532087957005,0.16772926560790566,0.39423658972292064"
24,"0.23431202139329865,0.3698096574575589,0.4921956936508149,0.2091651301158095,0.4616052669926552,0.5512457486906664,0.39661793784239857,0.36646855784043486,0.3671945133696147,0.4918241580897972,0.1986283455565157,0.29723365712321537,0.18954063494557158,0.311217339429955,0.34378798489563944,0.37178922116480057,0.14695496292097554,0.3705002483491283,0.49176035055661704,0.5044999661506211,0.37898612098025947,0.16644168155755049,0.41104828167720925,0.1784618084607189,0.29263628355850124,0.4449958909918364,0.5080225534156053,0.2347246676416696,0.2718658688820012,0.36788724318340743"
25,"0.23874555721586085,0.30502443430806714,0.5916343067481054,0.2130945825376849,0.36611103226023417,0.4736486693066847,0.3510503999533861,0.6064282280670193,0.33882342831865847,0.39160478390937625,0.32556373808981115,0.3560898255849471,0.16374254767592333,0.37884487669222094,0.23760027851669946,0.36407656948012085,0.516636283979369,0.28009725951232156,0.3431225171400677,0.3626385734305289,0.30366493610437484,0.4642195864601398,0.2567880187976684,0.5271356129751886,0.2502308714219798,0.38091247410348805,0.5250509326086138,0.21100652338013726,0.14978446686997798,0.2974664221958049"
26,"0.24807854803915477,0.4561026343594804,0.30536466898468806,0.09402159956618347,0.16799940345608094,0.5806301312080598,0.24095214058797168,0.14695577234006227,0.35522713498658204,0.37097498478450636,0.35573128989747166,0.4609106746639909,0.07155973292437817,0.3753395711263087,0.33202312884521623,0.2866983782927789,0.1535467621859558,0.29192040648674955,0.3368605628192583,0.5235222098789578,0.33455826801082245,0.504384710503666,0.2845261505660781,0.2282844224538094,0.4269821859451978,0.35260122918866743,0.3393567366817643,0.5744508815799272,0.5033247158040761,0.43592204763468834"
27,"0.34739619809420125,0.352236704458267,0.012315990417478688,0.34230275572771507,-0.14805310625128063,0.40718289866107016,0.43678189662774153,0.6289779125709649,0.28245146009780475,0.4978130695813851,0.12154243466562983,0.27376776364380945,0.040031869470176805,0.016016745575073807,0.34948083412023745,-0.002140165750150079,0.042948025169501795,0.268304069911285,-0.01824654495306209,0.17832701690343647,0.6341196018918702,0.3859633667447864,0.18596642408453457,0.40913369829781626,0.42091442305193805,0.15895721562473542,0.15819223914487296,0.044732739838529684,0.4963450554223566,0.6417228062895312"
28,"0.21023060783572514,0.2668744297149291,0.13693704473261326,0.33534506901289274,0.30303576805864213,0.48381467765289793,0.5593719916932857,0.4063483444570641,0.6553785510704624,0.5228001133878016,0.29272938827362827,0.45959307701039437,0.4639801181878302,0.34140277101595845,0.4623664388129788,0.5430607941738316,0.4755163199638544,0.4869043285932588,0.32531784409548586,0.45839308793146094,0.14954001986957566,0.30772744913184663,0.263792859973404,0.4994922939437778,0.40087217657711355,0.3777883607910225,0.37521499249565443,0.5663096254973136,0.44231328272858333,0.37918347670019886"
29,"0.44094525275783053,0.15031313772734659,0.29550615027689314,0.30331448339974815,0.30321461249871506,0.3632643083985146,0.4167738982133074,0.5890910025388016,0.4274730659779547,0.24772968170021228,0.3881090957421423,0.4533657895209736,0.5809445101082644,0.4050795211791693,0.2413929273789559,0.430555710566337,0.24936347585839633,0.5098583599747648,0.5737631410035762,0.27647218513503796,0.41946271830420623,0.39163143041286474,0.17948820663084403,0.5796145941465773,0.3330715109599119,0.3370570671254022,0.47409226765782664,0.12902874678031484,0.4979667791097909,0.14666611620425496"
30,"0.5046436599253036,0.4554358403952852,0.44099499265283754,0.3327870900770626,0.13559038146872013,0.5491609543478418,0.3939322267700566,0.46311160176977373,0.22300734297122082,0.05946493884782948,0.32679059659530824,0.4714878821721692,0.6202498194164485,0.4747505064258947,0.4484136681571378,0.46813826999541985,0.4417057435802095,0.31289102390808926,0.31297986726770305,0.18490199940516244,0.5383484496717611,0.12083284538005641,0.3688405007883774,0.42344087236229105,0.2739560666926202,0.1841826909801956,0.4471428028933536,0.5073872898485051,0.49593572412970416,0.44358805147447605"
31,"0.5214221047067866,0.4996894234231619,0.3495889863014475,0.4238516909510575,0.20857492800727995,0.3989683845775654,0.7331687932904273,0.5709767163360652,0.16755405867003065,0.28128484259833775,0.37913122112796604,0.446636465326886,0.1205199379978069,0.4138504625832196,0.22115602805269588,0.2554607935969276,0.3712309291693896,0.3768767481516071,0.13088363700363695,0.22224319023121103,0.16982892351797374,0.5984746921088561,0.2853501688267567,0.18278753281882826,0.5522774807874165,0.3365988197548453,0.38936433800189724,0.5655442571661503,0.5397596983397619,0.44154634381881047"
32,"0.3506041786430299,0.3528808941579868,0.2892156343425919,0.5176150326283393,0.45141391211134113,0.34743683630487177,0.15893375754053898,0.6235606928795838,0.5683083221704117,0.42886369737054425,0.23083907238960835,0.36844959811431827,0.6440712235504379,0.44611030263692103,0.4976448465043684,0.6187259810794936,0.3391125999096831,0.1777902729116676,0.4073564611614945,0.37403218936302535,0.767038750059143,0.27264612318822035,0.35861889575261313,0.3858197116821579,0.10396109096769629,0.2526442445006538,0.3327088167708489,0.21235698188575003,0.3915244038682739,0.3602472879254266"
33,"0.5365634441009681,0.35261829612655654,0.40551760384667146,0.3021818951235427,0.37356033893138874,0.3959811930424074,0.16505179460066266,0.4712416346424998,0.6723444772956366,0.4470107771199116,0.38085109713676496,0.2889102848650875,0.6077003680717142,0.28624619140729424,0.17393164564448424,0.3724279988557662,0.2323912102434847,0.4285675716121223,0.2741270125074929,0.23991463440556057,0.6752499702621896,0.18843982905692647,0.2410657421514467,0.06905866761541456,0.19180453428126812,0.5167602272989292,0.4044350638755199,0.45005380710706067,0.35806316950158307,0.48110641913424557"
34,"0.38690055089497927,0.4217931597897429,0.24853680084293497,0.24136773322659827,0.1988877109693437,0.3497013890117719,0.5640305582175604,0.1424420571452356,0.41490505717364395,0.44334124143157394,0.35588408278779404,0.4480762836212289,0.31391614028044573,0.25067421650682287,0.5940904130709731,0.34747228379630674,0.22571466664924922,0.49923445259314764,0.4220449075911978,0.5286798601990716,0.31689845267272343,0.35419894383053446,0.4703503540105158,0.21024661989792068,0.5544869816711664,0.36371532617537855,0.28981703303153644,0.3746335504575683,0.23666674065610874,0.5163286628189963"
35,"0.3262890373054517,0.3817922273259944,0.533891817750395,0.4001566557957859,0.3323919242125164,0.41448103030612715,0.5204383440996181,0.4187310108063174,0.2104519480510501,0.280233686776166,0.3937216776025029,0.5032465795757984,0.1740106382001969,0.27363743442540783,0.23856527952911274,0.32817196140787586,0.3016177273377538,0.17943007121287227,0.41118566846844123,0.38202916762912564,0.44226193115162765,0.6209446556447751,0.29555488166851707,0.16069724349952955,0.3363755113905446,0.4774485337127505,0.361482731063019,0.4168701916244659,0.31415144048261234,0.14332019276393393"
36,"0.15232873720350207,0.5502189581778232,0.06686729654077574,0.46378229979715024,0.2723081863436244,0.3612039862420943,0.1266848967265007,0.29197277826237616,0.11933398912455134,0.22530372084622644,0.25959842931401195,0.44797140654928186,0.0767787062318685,0.2561321479250561,0.5605272877720451,0.4737925673088491,0.37970057169749144,0.35933985761190435,0.10989680878356221,0.31038394658769913,0.5748357550316889,0.5883516817691744,0.3162456364389011,0.4610947621690881,0.1727235931104601,0.4868533522383382,0.36001735995160056,0.4292935815758497,0.39397875049379044,0.2309033929423453"
