,user_embed
36,"0.8468946472507757,0.6421006241894417,0.41161651135927285,0.7159074951805162,0.5747582702140429,0.7727646833811829,0.8104847793037238,0.6628541862776335,0.5619247911674657,0.766560890409174"
37,"0.8416910839183971,0.6272413951376444,0.43381479672506906,0.705006354440239,0.5793459551871464,0.7815590225441426,0.8060049624871206,0.6724710126066417,0.5576506760113662,0.7688264835337324"
38,"0.8304351141080857,0.5722971559155394,0.5348525680525757,0.6669885422202446,0.5704725552760112,0.8150010938594779,0.7761946532927372,0.7138081137114556,0.5332008245870816,0.786027236825408"
39,"0.6877509092192114,0.6178590406918291,0.5658692867055716,0.8235416029798869,0.6611274712639933,0.7047972326713854,0.6088118887216145,0.5839258174405318,0.8589592929158194,0.7692547295956231"
40,"0.6798107337181207,0.6125638952620646,0.5752967852699999,0.8149361306110752,0.6682017909347345,0.7079875411314825,0.6184215888531445,0.5914106583861669,0.8422973011508463,0.7782009602753912"
41,"0.6803837892053803,0.6125046342267637,0.5754307776744981,0.8156247263537989,0.6678522840109119,0.7074455425488079,0.6181756313395833,0.5919043799712151,0.8422411229470982,0.7779647511757701"
42,"0.6803757956692131,0.6125436853384971,0.5759495909381637,0.8155284987350581,0.6679812083696095,0.7075546102106605,0.6180337557968142,0.5914166345491234,0.8417478329275828,0.7788463177710756"
43,"0.6663773757862778,0.6263670728319417,0.5995834173621828,0.8044835509532088,0.6636615356290512,0.6923767275167649,0.6368129637786752,0.643423533038084,0.8139293117773497,0.7623742227794645"
44,"0.5895662957874469,0.7865998698462675,0.6864015231346008,0.8842224194396018,0.7906108336024295,0.5414510518971949,0.5519645594010347,0.5944581662206297,0.5906178316429506,0.6901700189619792"
45,"0.8074563075732958,0.49213174789343905,0.6673821788574221,0.6093878421848636,0.5541479429998035,0.8530180260667011,0.7289670801898944,0.7644830894611191,0.49491226704000063,0.8036818080409774"
46,"0.6372881643862663,0.6625329239345645,0.589117583058588,0.7445268408439812,0.7138685687231078,0.6471439437485769,0.6738995109977639,0.7956044185789269,0.7252288040850572,0.744672965115954"
47,"0.6488508853505631,0.6620817410108425,0.5663803609790758,0.8063532377492825,0.667067684344108,0.5878090222684698,0.7051313884451691,0.8307939966047496,0.7042350411591761,0.7280781379188409"
48,"0.6492962068925451,0.6624472758755567,0.5670314148255667,0.8063018855452281,0.6667237145624298,0.5875396922984084,0.7048310943016947,0.830615616154551,0.7043817122674273,0.7281189255939458"
49,"0.6489468097251283,0.6627909831100463,0.5665457404675892,0.8064048416436045,0.6669419013338252,0.5877013945943559,0.7043714570644797,0.8308144897221874,0.7044768102022763,0.7284981476120184"
50,"0.6435044510972516,0.6574262558838913,0.5871475044396576,0.7984008742213051,0.6651400282060623,0.6108850737909974,0.6935973355123884,0.8066225761400332,0.7171522299824087,0.7328193727487742"
51,"0.6489829404506913,0.6620009244189609,0.5669890618643095,0.8056072893316552,0.6664028824738687,0.5879071110237858,0.7043226356941181,0.8307504085121584,0.7040457649759624,0.7281066996786842"
52,"0.6489701513311629,0.6627469370942227,0.5663052990024998,0.8056971874626176,0.6664924348642329,0.5879889588566038,0.7047999088526856,0.8307765386602416,0.7037189847236031,0.7278988932095025"
53,"0.6486956741853181,0.6626866478158212,0.566207252759794,0.8062154170004925,0.6668858718955754,0.587435587576842,0.704742436218737,0.8302277010554011,0.7043944826157464,0.7281551874049147"
54,"0.6489847622000163,0.6620250844735567,0.5663064127647908,0.8062758213365661,0.6669534383771186,0.5876929011523933,0.7046926719015691,0.830906249408135,0.7043304289285524,0.72775872725602"
55,"0.5887768754317922,0.6264653833512985,0.5504117361599032,0.8479615179018077,0.6422166879475968,0.6087629300507583,0.6773138681100995,0.8866492203689852,0.6516982988713236,0.7996218535365363"
56,"0.8906234559699977,0.8362973769622808,0.541556094704662,0.8166260795902902,0.7795420496296144,0.799484737226908,0.39260943965983847,0.2780099962690726,0.7085898400962686,0.6759004545311242"
57,"0.6912133811356991,0.6501300664461425,0.8377265732034417,0.8187499980199122,0.564836991412241,0.5522959378247132,0.6376093546729695,0.6114805854780649,0.5773250149039504,0.9535323810775794"
58,"0.6914749877959925,0.650415296361481,0.8373156603784921,0.8191010498824955,0.5652109612036988,0.5522878946006355,0.6374225855664257,0.6112168547428349,0.5771920035138629,0.9533473789434116"
59,"0.6914144806339558,0.6505576508431483,0.8372805637409331,0.8189617193844697,0.564730438662651,0.5523639613869697,0.637403443570613,0.6112553429858328,0.5769735546505718,0.9537824834793507"
60,"0.6809638489132376,0.6445751723277879,0.841062257794991,0.8335296533455083,0.5392730447801289,0.5358742526325995,0.638467674210245,0.6307333980654845,0.5638362486445132,0.9689022351433261"
61,"0.6911115362812741,0.6500664212818461,0.8376334249966995,0.8191763571513495,0.5649703063929449,0.5527823680479368,0.6369582630558801,0.6117048658706083,0.5770252867096063,0.9535177249813729"
62,"0.6911438516640417,0.6504312450686753,0.8378966709702607,0.8191471515311758,0.564558929355834,0.5524937186525591,0.6373305855427635,0.6113333658861178,0.5772958512813705,0.9532555155579487"
63,"0.6289425202954267,0.6574260344813779,0.7187909363084337,0.7584145629499959,0.694567430862555,0.7200974616367491,0.6990530349928344,0.72166803096664,0.653594762959251,0.6690856271912151"
64,"0.633640545049765,0.6564516046720413,0.7192472577752854,0.7598927616326918,0.6926535276580594,0.717582797422074,0.6964937014538621,0.7226396022068442,0.6533031420584412,0.6694829319192274"
65,"0.44379798379896535,0.585249606775895,1.0632792496271486,0.6415944142568586,0.5666168395480113,0.3252873217639319,0.8342127363200086,0.515393066693103,0.579964833925279,0.8126873625201942"
66,"0.7940220236551865,0.523660013986623,0.8983063454628644,0.8735142467772715,0.5526783813106139,0.5275733139790086,0.6211650286794898,0.9716730419704925,0.5738401980835145,0.3771660760698991"
67,"0.793872025014497,0.5233238548832688,0.8987359931144979,0.8732207508176463,0.5526020524624564,0.5272482402991643,0.6216045165083722,0.9721466770542397,0.5735948817501987,0.3765988101714872"
68,"0.7939060687781381,0.5236810017862887,0.8980846920404485,0.8732944597939707,0.5531083135955412,0.5270842484241258,0.6214318923378723,0.9722762593092186,0.573564116651921,0.37689688250134923"
69,"0.7942933326627122,0.5234190205920801,0.8985674000070786,0.8732023252868217,0.552608102397105,0.5269357317038246,0.6212744158350145,0.9721801120740867,0.5736083679596415,0.37688934802639995"
70,"0.8901403671101907,0.5143124345828164,0.6222165378481901,0.9162786015849341,0.7140541893677589,0.5946320670883486,0.6824021430742568,0.30176106538749986,0.5429897299062049,0.9389173101112219"
71,"0.5775844599098394,0.8039827185394438,0.5763420809663247,0.7764271262220067,0.7222971475169166,0.6410376642846283,0.6044163186197012,0.7014633380443308,0.6123050024445573,0.7730394743262874"
72,"0.572376119026349,0.7930322823206619,0.5830365667396352,0.7748285245917635,0.7187304190429441,0.6500462859874169,0.5933253539684096,0.7020910790395527,0.615475374963628,0.7845880112092419"
73,"0.5794387704765391,0.8205386000148088,0.5646772360372189,0.7762990616162262,0.7392067991172162,0.6285439473229786,0.6168865940981997,0.7042916191689053,0.5915452779765776,0.7617058629385082"
74,"0.5800219637439119,0.8270717122780605,0.560423757379016,0.7787656856621848,0.7504969293815812,0.6211397575809182,0.6252642776597833,0.7062915861615486,0.5753776188516485,0.7534187923310957"
75,"0.5738277329760924,0.9079487449141717,0.48479751220131845,0.7349102687191745,0.7894391366461643,0.5915719812286752,0.6618610008528889,0.7263464653326905,0.546136873789728,0.7303313668984542"
76,"0.6392732595182409,0.6352989874256303,0.6458869690690021,0.7782236083502403,0.6477786334439146,0.6637784746808816,0.6712454799148732,0.7356469658039466,0.7644622868645876,0.7292474245720953"
77,"0.5810811733149731,0.8126072664086581,0.573686861018432,0.7854395224867484,0.7555185779444629,0.6257558058071808,0.6095881255919375,0.7013356199528354,0.5715005555649771,0.7637681052625195"
78,"0.5956813103309406,0.6295332951677332,0.8755820580095524,0.4789651689732159,0.8454718498813285,0.8917508667476636,0.8116356162291198,0.44606834767719,0.5990137764366894,0.5883968083952255"
79,"0.7357862621741884,0.7130543194192188,0.6699899852547522,0.808639347023899,0.5931332259111636,0.6121075506881395,0.788989896925597,0.6919995398909341,0.7152158116465573,0.5813372219910221"
80,"0.7362273973562473,0.7138495305500849,0.6700559391548072,0.8084115868004336,0.5930974585594778,0.6113776212928398,0.7891116398010937,0.6914586157666933,0.7157147377928936,0.5810117299127792"
81,"0.7362866215587381,0.7137986320250352,0.6697530008211743,0.808751126883334,0.5935763201479746,0.6112237255047008,0.7884978206057548,0.6918025606083658,0.7155557720433132,0.581406304077051"
82,"0.7364413502145456,0.7134954364086961,0.6695121146298331,0.808623830006722,0.5931439373558508,0.6117109537694922,0.7891253101525897,0.6916918412205888,0.7158075787473837,0.581222061351608"
83,"0.7890476594373516,0.7170369527700474,0.6255537354637818,0.8117893357393658,0.6060404492293427,0.6711760180571171,0.7036196092043697,0.7190780525386339,0.6842372267898598,0.5996716003569154"
84,"0.7307782661842658,0.7069612727377617,0.6971843444976945,0.800750135728711,0.6227152522816127,0.6324998962431135,0.7544750849439528,0.6972447003689723,0.6829163116705518,0.5981722326516395"
85,"0.7263761334406289,0.5355328864070701,0.6249914411680911,0.5266750114401727,0.48917926775640447,0.7910990015166172,0.7788676296728356,1.1022302466299683,0.5755962501046887,0.4513455110661372"
86,"0.5901461567204869,0.7689146208299733,0.6135955513913243,0.8113754009088817,0.7630382912268743,0.6385311194140555,0.5667369498245698,0.6797760752691286,0.5655170772852187,0.7781981204420233"
87,"0.5602422777263938,1.0146311333468514,0.3713665392420002,0.6649322770540461,0.8355139178141774,0.5432955031594442,0.7087192140841863,0.745756587469209,0.49968323087026995,0.6866653377904554"
88,"0.6690429399840465,0.6376936139308633,0.8442833840521199,0.8489739197668061,0.5104956548039101,0.5170780966904927,0.6392050036080914,0.651711355369788,0.5486148413950312,0.9853003318706551"
89,"0.9238530472010748,0.619613100325248,0.362318329930632,0.6622242237426258,0.47527076884688596,0.9430722125540866,0.6281729907162892,0.46614687953417955,0.7659401911318264,0.7707097571650385"
90,"0.5485605774671332,0.667210936332956,0.6590427338282945,0.5795065107163051,0.7017918157165787,0.8980668322325459,0.6471818056876216,0.7535815038543514,0.6608409443979056,0.7524851397748816"
91,"0.6202317378681277,0.6574930874203267,0.6106724196429003,0.6473836595919569,0.7873030616128238,0.7153111285417378,0.6251367378151469,0.7350871520161272,0.7576732475368183,0.7593550236124447"
